motherboard_brand,motherboard_chipset,cpu_brand,cpu_model,ram_brand,ram_size_gb,ram_type,ram_speed_mhz,gpu_brand,gpu_model,cooler_brand,cooler_type,cabinet_brand,cabinet_type,psu_brand,psu_wattage,storage_type,storage_capacity_gb,total_price
gigabyte,x670,amd,amd_athlon_3000g,g_skill,64_gb,ddr4,4000_mhz,nvidia,gtx_1650,cooler_master,air,cooler_master,full_tower,corsair_(budget),550_wattage,hdd,2000_gb,92191.0
intel,z690,intel,intel_core_i9-13900k,crucial,16_gb,ddr5,5200_mhz,nvidia,gtx_1650,noctua,air,generic,microatx,corsair_(budget),450_wattage,ssd_nvme,256_gb,114761.0
evga,h670,intel,intel_core_i3-13100,corsair,8_gb,ddr4,3000_mhz,nvidia,rtx_3060,stock_cooler,aio_120mm,corsair,mini-itx,cooler_master,850_wattage,hdd,1000_gb,79509.0
asrock,b660,intel,intel_core_i7-13700k,patriot,8_gb,ddr5,5200_mhz,amd,radeon_rx_7800_xt,be_quiet!,aio_120mm,generic,mid_tower,evga,850_wattage,ssd_nvme,256_gb,197340.0
biostar,h670,intel,intel_pentium_gold_g7400,g_skill,16_gb,ddr5,4800_mhz,nvidia,gtx_1650,corsair,aio_360mm,corsair,microatx,corsair,550_wattage,ssd_nvme,2000_gb,75700.0
asrock,x670,amd,amd_ryzen_7_7700x,adata,64_gb,ddr5,3200_mhz,nvidia,rtx_3060,deepcool,air,generic,full_tower,evga,750_wattage,ssd_nvme,256_gb,177083.0
asrock,a520,amd,amd_athlon_3000g,patriot,32_gb,ddr5,5600_mhz,amd,radeon_rx_7900_xtx,stock_cooler,aio_360mm,antec,mid_tower,corsair_(budget),850_wattage,ssd_nvme,512_gb,303085.0
gigabyte,x670,amd,amd_ryzen_9_7950x,kingston,16_gb,ddr4,2666_mhz,nvidia,gtx_1650,cooler_master,air,generic,microatx,cooler_master,450_wattage,ssd_nvme,2000_gb,135875.0
intel,h670,intel,intel_core_i9-13900k,patriot,16_gb,ddr4,3200_mhz,nvidia,gtx_1650,deepcool,aio_240mm,cooler_master,full_tower,corsair,550_wattage,ssd_nvme,1000_gb,116925.0
gigabyte,z790,intel,intel_core_i3-13100,teamgroup,16_gb,ddr4,3600_mhz,nvidia,rtx_4070,cooler_master,aio_120mm,antec,full_tower,corsair_(budget),1000_wattage,ssd_sata,512_gb,194750.0
gigabyte,x570,amd,amd_ryzen_9_7950x,adata,16_gb,ddr4,2400_mhz,nvidia,rtx_4070,cooler_master,air,cooler_master,mini-itx,cooler_master,850_wattage,ssd_nvme,1000_gb,250204.0
msi,z690,intel,intel_core_i9-13900k,patriot,16_gb,ddr5,5600_mhz,nvidia,rtx_3060,be_quiet!,air,antec,mini-itx,evga,850_wattage,ssd_nvme,256_gb,156545.0
biostar,b650,amd,amd_ryzen_5_7600x,corsair,16_gb,ddr5,4800_mhz,nvidia,rtx_4090,noctua,air,nzxt,full_tower,cooler_master,850_wattage,ssd_sata,2000_gb,315554.0
evga,x670,amd,amd_ryzen_5_5600x,crucial,16_gb,ddr5,3200_mhz,nvidia,rtx_4080,cooler_master,aio_360mm,antec,mini-itx,evga,1000_wattage,ssd_nvme,256_gb,199039.0
evga,b650,amd,amd_ryzen_9_7950x,patriot,16_gb,ddr4,2400_mhz,nvidia,rtx_4080,be_quiet!,air,thermaltake,full_tower,evga,750_wattage,ssd_sata,256_gb,248880.0
biostar,a520,amd,amd_ryzen_7_7700x,g_skill,8_gb,ddr4,2666_mhz,amd,radeon_rx_7800_xt,noctua,air,antec,microatx,corsair,1000_wattage,ssd_sata,256_gb,197445.0
asus,h610,intel,intel_pentium_gold_g7400,crucial,16_gb,ddr4,2400_mhz,nvidia,rtx_3060,noctua,air,nzxt,mid_tower,corsair,650_wattage,ssd_sata,1000_gb,74353.0
asrock,b550,amd,amd_ryzen_5_7600x,crucial,8_gb,ddr4,4000_mhz,nvidia,gtx_1650,cooler_master,air,fractal_design,mini-itx,cooler_master,550_wattage,ssd_nvme,1000_gb,70709.0
evga,h670,intel,intel_core_i7-13700k,corsair,32_gb,ddr5,3200_mhz,nvidia,rtx_4070,be_quiet!,air,thermaltake,mini-itx,evga,850_wattage,hdd,2000_gb,244818.0
biostar,a520,amd,amd_ryzen_5_7600x,corsair,16_gb,ddr4,2666_mhz,nvidia,rtx_4080,corsair,aio_240mm,generic,mini-itx,antec,850_wattage,ssd_sata,256_gb,198039.0
asus,b650,amd,amd_ryzen_5_7600x,patriot,16_gb,ddr5,4800_mhz,amd,radeon_rx_7800_xt,deepcool,air,nzxt,mid_tower,cooler_master,750_wattage,ssd_nvme,1000_gb,195338.0
biostar,z790,intel,intel_pentium_gold_g7400,g_skill,8_gb,ddr4,4000_mhz,amd,radeon_rx_6500_xt,deepcool,aio_120mm,corsair,mid_tower,evga,450_wattage,ssd_nvme,1000_gb,56416.0
asus,z790,intel,intel_pentium_gold_g7400,kingston,32_gb,ddr5,4800_mhz,nvidia,rtx_4090,deepcool,air,antec,full_tower,evga,1200_wattage,ssd_sata,256_gb,326180.70000000007
intel,b660,intel,intel_core_i9-13900k,crucial,16_gb,ddr5,4800_mhz,amd,radeon_rx_7900_xtx,cooler_master,aio_240mm,generic,mini-itx,seasonic,850_wattage,ssd_nvme,256_gb,326180.70000000007
msi,b660,intel,intel_core_i5-13600k,g_skill,8_gb,ddr4,3600_mhz,nvidia,rtx_4070,stock_cooler,aio_240mm,corsair,mini-itx,seasonic,1000_wattage,ssd_sata,512_gb,186239.0
intel,b550,amd,amd_ryzen_5_5600x,adata,16_gb,ddr5,4800_mhz,amd,radeon_rx_7900_xtx,stock_cooler,air,nzxt,mini-itx,cooler_master,1000_wattage,ssd_nvme,1000_gb,314288.0
biostar,b550,amd,amd_ryzen_9_7950x,crucial,16_gb,ddr4,3200_mhz,nvidia,gtx_1650,corsair,aio_120mm,nzxt,microatx,corsair_(budget),550_wattage,ssd_sata,256_gb,106481.0
biostar,h610,intel,intel_core_i3-13100,g_skill,16_gb,ddr5,5200_mhz,nvidia,rtx_4070,noctua,aio_240mm,nzxt,mini-itx,cooler_master,1000_wattage,ssd_sata,512_gb,180066.0
gigabyte,a520,amd,amd_ryzen_7_7700x,patriot,16_gb,ddr4,3600_mhz,nvidia,rtx_4090,deepcool,aio_120mm,corsair,mid_tower,antec,1000_wattage,ssd_nvme,512_gb,326180.70000000007
msi,z690,intel,intel_core_i3-13100,g_skill,8_gb,ddr4,3600_mhz,nvidia,gtx_1650,corsair,aio_360mm,thermaltake,microatx,corsair_(budget),450_wattage,ssd_sata,512_gb,67528.0
evga,z690,intel,intel_core_i5-13600k,adata,8_gb,ddr5,3600_mhz,nvidia,rtx_4070,deepcool,aio_360mm,antec,microatx,cooler_master,850_wattage,ssd_nvme,512_gb,217483.0
intel,a520,amd,amd_ryzen_7_7700x,patriot,16_gb,ddr5,5600_mhz,nvidia,gtx_1650,corsair,air,fractal_design,full_tower,seasonic,450_wattage,ssd_sata,256_gb,94683.0
msi,h670,intel,intel_core_i5-13600k,kingston,8_gb,ddr5,3200_mhz,nvidia,rtx_4070,cooler_master,air,fractal_design,full_tower,cooler_master,850_wattage,hdd,1000_gb,202769.0
evga,b550,amd,amd_athlon_3000g,crucial,8_gb,ddr5,3600_mhz,nvidia,rtx_4090,stock_cooler,aio_240mm,nzxt,microatx,corsair_(budget),850_wattage,ssd_nvme,512_gb,278392.0
msi,h610,intel,intel_core_i5-13600k,g_skill,16_gb,ddr4,3600_mhz,nvidia,rtx_4090,be_quiet!,aio_120mm,thermaltake,mid_tower,corsair,1000_wattage,hdd,2000_gb,326180.70000000007
gigabyte,z690,intel,intel_core_i9-13900k,patriot,16_gb,ddr5,3600_mhz,amd,radeon_rx_7600,cooler_master,aio_240mm,antec,microatx,corsair,650_wattage,hdd,1000_gb,168524.0
asus,b660,intel,intel_core_i7-13700k,adata,16_gb,ddr5,4800_mhz,amd,radeon_rx_7800_xt,noctua,aio_360mm,nzxt,mini-itx,corsair_(budget),850_wattage,hdd,2000_gb,213435.0
gigabyte,h610,intel,intel_core_i3-13100,teamgroup,8_gb,ddr5,3200_mhz,nvidia,rtx_4080,corsair,air,cooler_master,mini-itx,cooler_master,1000_wattage,ssd_nvme,2000_gb,181881.0
biostar,x570,amd,amd_ryzen_5_7600x,patriot,64_gb,ddr4,4000_mhz,nvidia,rtx_4070,stock_cooler,aio_240mm,corsair,microatx,seasonic,750_wattage,ssd_nvme,2000_gb,207050.0
evga,h670,intel,intel_core_i7-13700k,kingston,16_gb,ddr4,3600_mhz,amd,radeon_rx_7600,stock_cooler,air,nzxt,full_tower,antec,750_wattage,ssd_sata,2000_gb,128352.0
msi,x670,amd,amd_ryzen_5_5600x,teamgroup,8_gb,ddr4,4000_mhz,nvidia,rtx_4090,corsair,aio_240mm,thermaltake,mini-itx,corsair_(budget),850_wattage,ssd_sata,512_gb,326180.70000000007
msi,b650,amd,amd_ryzen_9_7950x,teamgroup,16_gb,ddr5,5600_mhz,nvidia,rtx_3060,be_quiet!,air,nzxt,mini-itx,corsair_(budget),850_wattage,ssd_nvme,2000_gb,171293.0
evga,z790,intel,intel_core_i5-13600k,crucial,16_gb,ddr5,3600_mhz,nvidia,gtx_1650,cooler_master,aio_240mm,thermaltake,mid_tower,seasonic,650_wattage,ssd_nvme,512_gb,97795.0
intel,x670,amd,amd_ryzen_5_7600x,g_skill,16_gb,ddr5,3600_mhz,nvidia,gtx_1650,be_quiet!,aio_120mm,thermaltake,full_tower,corsair_(budget),650_wattage,ssd_nvme,256_gb,93288.0
evga,h610,intel,intel_core_i9-13900k,patriot,8_gb,ddr5,5600_mhz,nvidia,rtx_3060,be_quiet!,air,fractal_design,full_tower,cooler_master,850_wattage,ssd_nvme,256_gb,146172.0
msi,b660,intel,intel_core_i3-13100,g_skill,16_gb,ddr5,4800_mhz,nvidia,rtx_4080,be_quiet!,aio_120mm,fractal_design,mid_tower,seasonic,750_wattage,ssd_nvme,2000_gb,190826.0
intel,b660,intel,intel_core_i7-13700k,patriot,16_gb,ddr4,3200_mhz,nvidia,rtx_3060,corsair,air,fractal_design,microatx,antec,650_wattage,ssd_nvme,2000_gb,125930.0
gigabyte,b550,amd,amd_ryzen_5_5600x,teamgroup,8_gb,ddr4,3000_mhz,nvidia,rtx_3060,deepcool,air,cooler_master,mini-itx,cooler_master,850_wattage,ssd_nvme,256_gb,87640.0
intel,b660,intel,intel_core_i5-13600k,kingston,16_gb,ddr4,3600_mhz,nvidia,gtx_1650,noctua,air,fractal_design,microatx,seasonic,650_wattage,ssd_sata,512_gb,66355.0
biostar,a520,amd,amd_ryzen_5_7600x,teamgroup,16_gb,ddr5,5600_mhz,nvidia,rtx_4090,stock_cooler,air,cooler_master,mid_tower,corsair_(budget),1000_wattage,ssd_sata,512_gb,308105.0
biostar,b550,amd,amd_ryzen_7_7700x,teamgroup,16_gb,ddr4,2400_mhz,nvidia,rtx_4090,deepcool,air,antec,full_tower,cooler_master,1200_wattage,ssd_sata,256_gb,326180.70000000007
gigabyte,x570,amd,amd_athlon_3000g,crucial,16_gb,ddr4,3200_mhz,nvidia,rtx_4070,stock_cooler,aio_240mm,antec,mini-itx,seasonic,750_wattage,ssd_nvme,1000_gb,183420.0
gigabyte,x570,amd,amd_ryzen_5_5600x,adata,32_gb,ddr5,4800_mhz,amd,radeon_rx_6500_xt,deepcool,aio_240mm,generic,full_tower,corsair_(budget),550_wattage,hdd,2000_gb,99774.0
gigabyte,h610,intel,intel_pentium_gold_g7400,kingston,8_gb,ddr4,2666_mhz,amd,radeon_rx_7800_xt,noctua,air,fractal_design,mid_tower,corsair,750_wattage,hdd,1000_gb,160220.0
asrock,b650,amd,amd_ryzen_5_5600x,kingston,16_gb,ddr4,2400_mhz,nvidia,rtx_4080,stock_cooler,aio_360mm,corsair,microatx,corsair,750_wattage,ssd_nvme,2000_gb,193965.0
asus,x670,amd,amd_ryzen_5_7600x,adata,16_gb,ddr5,4800_mhz,nvidia,gtx_1650,cooler_master,aio_360mm,corsair,mid_tower,cooler_master,650_wattage,ssd_sata,256_gb,104250.0
evga,b650,amd,amd_athlon_3000g,adata,32_gb,ddr5,5600_mhz,nvidia,rtx_3060,cooler_master,stock,corsair,mid_tower,cooler_master,650_wattage,hdd,2000_gb,100622.0
evga,a520,amd,amd_ryzen_5_7600x,g_skill,8_gb,ddr4,3200_mhz,nvidia,rtx_3060,stock_cooler,aio_240mm,antec,mini-itx,seasonic,650_wattage,ssd_nvme,2000_gb,109148.0
evga,b550,amd,amd_ryzen_5_5600x,teamgroup,16_gb,ddr4,2666_mhz,nvidia,gtx_1650,noctua,aio_120mm,cooler_master,mid_tower,corsair,450_wattage,hdd,1000_gb,59335.0
intel,h610,intel,intel_core_i5-13600k,corsair,16_gb,ddr5,3200_mhz,nvidia,rtx_3060,deepcool,air,thermaltake,mid_tower,evga,850_wattage,ssd_nvme,256_gb,110545.0
asrock,a520,amd,amd_ryzen_9_7950x,corsair,16_gb,ddr4,2400_mhz,nvidia,rtx_3060,deepcool,air,antec,microatx,cooler_master,750_wattage,hdd,2000_gb,140726.0
msi,a520,amd,amd_athlon_3000g,g_skill,128_gb,ddr5,3600_mhz,nvidia,rtx_4080,noctua,stock,antec,microatx,seasonic,750_wattage,ssd_nvme,512_gb,282104.0
asus,x570,amd,amd_ryzen_9_7950x,teamgroup,32_gb,ddr4,2666_mhz,amd,radeon_rx_7900_xtx,stock_cooler,aio_240mm,antec,mid_tower,antec,850_wattage,ssd_sata,256_gb,326180.70000000007
intel,b550,amd,amd_ryzen_7_7700x,adata,16_gb,ddr5,3600_mhz,nvidia,rtx_4080,be_quiet!,air,nzxt,full_tower,antec,850_wattage,hdd,2000_gb,228844.0
asrock,z690,intel,intel_core_i3-13100,crucial,8_gb,ddr5,3600_mhz,nvidia,rtx_4070,cooler_master,aio_240mm,thermaltake,microatx,antec,1000_wattage,ssd_nvme,512_gb,188693.0
intel,b660,intel,intel_core_i3-13100,adata,16_gb,ddr4,2400_mhz,nvidia,gtx_1650,noctua,air,antec,full_tower,evga,550_wattage,ssd_nvme,512_gb,54074.0
msi,h610,intel,intel_core_i3-13100,g_skill,16_gb,ddr4,3600_mhz,nvidia,rtx_4070,be_quiet!,aio_120mm,cooler_master,microatx,cooler_master,1000_wattage,ssd_nvme,512_gb,164995.0
intel,z690,intel,intel_pentium_gold_g7400,g_skill,8_gb,ddr5,4800_mhz,amd,radeon_rx_7600,be_quiet!,aio_240mm,antec,mini-itx,corsair_(budget),750_wattage,ssd_nvme,512_gb,92365.0
evga,h610,intel,intel_core_i7-13700k,g_skill,32_gb,ddr5,3200_mhz,nvidia,rtx_4090,stock_cooler,air,corsair,full_tower,corsair,850_wattage,ssd_nvme,256_gb,326180.70000000007
asrock,x570,amd,amd_athlon_3000g,corsair,16_gb,ddr5,3200_mhz,amd,radeon_rx_7600,corsair,air,antec,microatx,corsair,650_wattage,ssd_nvme,512_gb,98404.0
gigabyte,x570,amd,amd_ryzen_5_7600x,kingston,64_gb,ddr5,3600_mhz,nvidia,rtx_4080,noctua,aio_240mm,generic,mid_tower,cooler_master,850_wattage,ssd_nvme,256_gb,250906.0
evga,b660,intel,intel_core_i3-13100,teamgroup,64_gb,ddr4,2666_mhz,amd,radeon_rx_6500_xt,noctua,aio_240mm,thermaltake,mid_tower,corsair,550_wattage,ssd_nvme,2000_gb,80013.0
msi,h610,intel,intel_pentium_gold_g7400,teamgroup,16_gb,ddr5,5200_mhz,nvidia,rtx_4080,stock_cooler,aio_240mm,cooler_master,mid_tower,corsair,750_wattage,ssd_sata,2000_gb,182752.0
intel,h670,intel,intel_core_i5-13600k,g_skill,16_gb,ddr5,5200_mhz,amd,radeon_rx_6500_xt,be_quiet!,air,nzxt,mid_tower,corsair_(budget),550_wattage,ssd_nvme,2000_gb,86540.0
gigabyte,h670,intel,intel_core_i9-13900k,teamgroup,8_gb,ddr4,2400_mhz,amd,radeon_rx_6500_xt,be_quiet!,air,cooler_master,mid_tower,cooler_master,550_wattage,ssd_nvme,256_gb,99101.0
biostar,b550,amd,amd_ryzen_7_7700x,patriot,16_gb,ddr4,3000_mhz,nvidia,rtx_3060,cooler_master,air,fractal_design,mid_tower,corsair_(budget),650_wattage,ssd_nvme,512_gb,113438.0
asrock,b660,intel,intel_core_i9-13900k,adata,16_gb,ddr5,5200_mhz,nvidia,gtx_1650,corsair,aio_120mm,fractal_design,mini-itx,evga,550_wattage,ssd_sata,2000_gb,118753.0
asrock,a520,amd,amd_ryzen_5_7600x,teamgroup,16_gb,ddr4,3600_mhz,amd,radeon_rx_7800_xt,be_quiet!,air,antec,full_tower,corsair_(budget),850_wattage,ssd_sata,2000_gb,201081.0
msi,b660,intel,intel_core_i5-13600k,g_skill,16_gb,ddr5,3200_mhz,nvidia,gtx_1650,deepcool,aio_120mm,generic,microatx,corsair_(budget),550_wattage,ssd_nvme,256_gb,80169.0
msi,h610,intel,intel_core_i5-13600k,adata,64_gb,ddr5,4800_mhz,nvidia,rtx_3060,noctua,air,thermaltake,full_tower,cooler_master,750_wattage,ssd_nvme,512_gb,146719.0
gigabyte,h670,intel,intel_core_i9-13900k,corsair,32_gb,ddr5,4800_mhz,nvidia,rtx_4080,corsair,air,antec,microatx,corsair,850_wattage,ssd_nvme,1000_gb,252775.0
evga,b650,amd,amd_ryzen_7_7700x,g_skill,16_gb,ddr5,5600_mhz,nvidia,rtx_3060,deepcool,aio_120mm,antec,microatx,antec,850_wattage,ssd_nvme,2000_gb,140619.0
gigabyte,x670,amd,amd_ryzen_7_7700x,corsair,16_gb,ddr4,3000_mhz,nvidia,rtx_3060,stock_cooler,aio_360mm,antec,mini-itx,cooler_master,850_wattage,ssd_nvme,2000_gb,161497.0
biostar,b550,amd,amd_ryzen_5_7600x,patriot,8_gb,ddr4,2666_mhz,nvidia,rtx_4080,cooler_master,aio_120mm,corsair,microatx,corsair_(budget),850_wattage,hdd,1000_gb,177605.0
msi,b660,intel,intel_core_i7-13700k,crucial,16_gb,ddr5,3200_mhz,nvidia,rtx_4080,be_quiet!,aio_120mm,antec,microatx,cooler_master,850_wattage,ssd_nvme,512_gb,219689.0
gigabyte,z690,intel,intel_pentium_gold_g7400,crucial,16_gb,ddr5,5600_mhz,nvidia,gtx_1650,be_quiet!,aio_240mm,generic,mid_tower,antec,550_wattage,ssd_nvme,512_gb,66899.0
gigabyte,a520,amd,amd_ryzen_5_5600x,teamgroup,8_gb,ddr4,2666_mhz,amd,radeon_rx_7600,be_quiet!,aio_120mm,corsair,full_tower,antec,650_wattage,ssd_nvme,512_gb,94363.0
biostar,a520,amd,amd_ryzen_5_7600x,adata,64_gb,ddr4,2666_mhz,nvidia,rtx_3060,corsair,aio_360mm,generic,full_tower,evga,850_wattage,ssd_sata,2000_gb,133126.0
evga,x570,amd,amd_ryzen_5_7600x,crucial,8_gb,ddr4,3200_mhz,nvidia,rtx_4070,corsair,air,thermaltake,mid_tower,corsair,1000_wattage,ssd_nvme,1000_gb,207458.0
msi,x570,amd,amd_ryzen_5_5600x,g_skill,16_gb,ddr5,4800_mhz,nvidia,gtx_1650,deepcool,aio_240mm,generic,mid_tower,cooler_master,650_wattage,hdd,1000_gb,87746.0
msi,z690,intel,intel_core_i3-13100,kingston,8_gb,ddr5,3200_mhz,nvidia,rtx_4070,stock_cooler,aio_360mm,fractal_design,mini-itx,cooler_master,750_wattage,ssd_sata,256_gb,168934.0
msi,h610,intel,intel_pentium_gold_g7400,crucial,8_gb,ddr5,3200_mhz,nvidia,rtx_3060,deepcool,air,antec,mid_tower,evga,750_wattage,ssd_sata,512_gb,76118.0
biostar,b550,amd,amd_ryzen_9_7950x,adata,16_gb,ddr5,4800_mhz,nvidia,rtx_4080,be_quiet!,aio_240mm,nzxt,mid_tower,antec,750_wattage,ssd_nvme,2000_gb,257915.0
